,name_food,calories,link
66,Ensalada de Atún con Pepino,147,https://queapetito.com/receta-ensalada-atun-pepino/
67,Ensalada de lechuga con queso mozzarella,130,https://queapetito.com/receta-ensalada-lechuga-queso-mozzarella/
68,Ensalada de col con mayonesa,110,https://queapetito.com/receta-ensalada-col-mayonesa/
69,Ensalada de aguacate y cebolla,150,https://queapetito.com/receta-ensalada-aguacate-cebolla/
70,Ensalada de escarola y bacalao,170,https://queapetito.com/receta-ensalada-escarola-bacalao/
71,Ensalada de endivias con gulas,160,https://queapetito.com/receta-ensalada-endivias-gulas/
72,Ensalada de aguacate y jamón,280,https://queapetito.com/receta-ensalada-aguacate-jamon/
73,Ensalada de Endivias con Bacalao,79,https://queapetito.com/receta-ensalada-endivias-bacalao/
74,Ensalada de Arroz con Salmón,108,https://queapetito.com/receta-ensalada-arroz-salmon/
75,Ensalada templada de calamares,220,https://queapetito.com/receta-ensalada-templada-calamares/
76,Aguacate al surimi,270,https://queapetito.com/receta-aguacate-surimi/
77,Ensalada crudivegana,120,https://queapetito.com/receta-ensalada-crudivegana/
78,Aguacate con anchoas,180,https://queapetito.com/receta-aguacate-anchoas/
79,Ensalada Campesina,71,https://queapetito.com/receta-ensalada-campesina/
80,Ensalada de manzana verde con apio,100,https://queapetito.com/receta-ensalada-manzana-verde-apio/
81,Ensalada de aguaymanto con pollo,180,https://queapetito.com/receta-ensalada-aguaymanto-pollo/
82,Sopa de coditos fría,290,https://queapetito.com/receta-sopa-coditos-fria/
83,Ensalada de arroz integral con verduras,140,https://queapetito.com/receta-ensalada-arroz-integral-verduras/
84,Aguacates rellenos con ensalada,320,https://queapetito.com/receta-aguacates-rellenos-ensalada/
85,Ensalada asada de verduras,257,https://queapetito.com/receta-ensalada-asada-verduras/
86,Tabulé de los incas,200,https://queapetito.com/receta-tabule-incas/
87,"Ensalada de Aguacate, Pepino y Tomate",79,https://queapetito.com/receta-ensalada-aguacate-pepino-tomate/
88,"Ensalada de Manzana, Lechuga y Nueces",103,https://queapetito.com/receta-ensalada-manzana-lechuga-nueces/
89,Ensalada caprese con champiñones,177,https://queapetito.com/receta-ensalada-caprese-champinones/
90,Ensalada con huevos de codorniz,150,https://queapetito.com/receta-ensalada-huevos-codorniz/
91,Ensalada Caprese Vegana,40,https://queapetito.com/receta-ensalada-caprese-vegana/
92,Ensalada césar con pollo empanado,360,https://queapetito.com/receta-ensalada-cesar-pollo-empanado/
93,Ensalada con queso fresco y pavo,175,https://queapetito.com/receta-ensalada-queso-fresco-pavo/
94,Ensalada China con Salsa de Soja,117,https://queapetito.com/receta-ensalada-china-salsa-soja/
95,Ensalada de alubias con bacalao,280,https://queapetito.com/receta-ensalada-alubias-bacalao/
96,Ensalada de Arroz con Atún y Huevo,168,https://queapetito.com/ensalada-arroz-atun-huevo/
97,Tabulé con Langostinos,260,https://queapetito.com/receta-tabule-langostinos/
98,Ensalada agridulce colombiana,80,https://queapetito.com/receta-ensalada-agridulce-colombiana/
99,Ensalada caprese con albahaca,148,https://queapetito.com/receta-ensalada-caprese-albahaca/
100,Ensalada de betarraga y lechuga,70,https://queapetito.com/receta-ensalada-betarraga-lechuga/
101,Acelgas con Patatas y Pimentón,63,https://queapetito.com/receta-acelgas-patatas-pimenton/
102,Ensalada de aguacate y rúcula,250,https://queapetito.com/receta-ensalada-aguacate-rucula/
